id,id8,name,custom_data,geo_health,has_raw
932084b0-49b7-4002-82f4-7279feb052f6,932084b0,Mercado Central de Santander Nuevo,{},hardError,f
94a05278-c7d4-432b-a6a5-9ba40c7658a6,94a05278,Casco Antiguo de Viana do Castelo Nuevo,{},hardError,f
94d2e9d9-4162-48d8-832b-6ef063873d12,94d2e9d9,Parque Municipal de Murcia,{},ok,t
953c4376-702c-47b1-af0f-08cc897cd13e,953c4376,Plaza Mayor de Sevilla,{},hardError,f
97994320-be06-450e-94c8-2a8f058cd051,97994320,Casco Antiguo de Leiria Nuevo,{},hardError,f
a49fc322-3c95-4b2a-8520-4cba5625f4b2,a49fc322,Puente Medieval de Lyon,{},hardError,f
a4b87810-5326-4f00-a2fb-eebe395ef8af,a4b87810,Plaza Mayor de Valladolid Nuevo,{},hardError,f
b35a79fc-b3f1-49b7-b6e1-623586a77444,b35a79fc,Plaza Mayor de A Coruña Nuevo,{},hardError,f
b3cf9399-6fd1-4975-bbae-7f144400e3d7,b3cf9399,Catedral de Rennes Nuevo,{},hardError,f
b41a33d7-10e7-45c0-9cc9-f95fbd775d13,b41a33d7,Monasterio de Sumela,{},partial,f
c1663f48-dc32-44ef-a3ff-f690f0554d34,c1663f48,Museo Etnográfico de Valladolid,{},hardError,f
c7a1d2a9-00d2-4ffa-8b08-f31518d21e74,c7a1d2a9,Jardín Botánico de Alicante,{},hardError,f
c9e0df07-10de-4218-9a3b-a6ab10992b13,c9e0df07,Plaza Mayor de Santander,{},hardError,f
cc5fc42b-8e32-4b82-bf4d-446e4cbe1e29,cc5fc42b,Parque Municipal de Marrakech Nuevo,{},hardError,f
d11f44dd-0667-40a4-b87d-c5cfc35ef9bb,d11f44dd,Mercado Central de Llívia,{},hardError,f
d25504ac-5586-4db8-b58a-5b6a9aa27fa6,d25504ac,Parque Municipal de Vigo Nuevo,{},hardError,f
d3587fb9-5847-4872-9a7b-0d402e5297fc,d3587fb9,Castillo de Évora Nuevo,{},hardError,f
d5664740-7395-4c47-bd93-d9508202c96a,d5664740,Puente Medieval de Sevilla,{},hardError,f
d8151dd1-63be-442b-a49b-5c6f2b597b40,d8151dd1,Jardín Botánico de Vigo,{},hardError,f
e280fafd-f42c-45d4-99e3-7ffc25170b43,e280fafd,Plaza Mayor de Le Havre Nuevo,{},hardError,f
e86188df-f488-4d8f-9aab-7b80278f30d0,e86188df,Monasterio de Burdeos Nuevo,{},hardError,f
e9cfe0cd-df92-4ff8-9638-94dc86699e62,e9cfe0cd,Parque Municipal de Toledo,{},ok,t
ef50654b-ca8b-4294-8b78-8e89d4f76141,ef50654b,Museo Etnográfico de Estrasburgo,{},hardError,f
fb79a9e3-61cb-4cae-b50b-ac6349a7087c,fb79a9e3,Mirador de Santander,{},hardError,f
